state	bin	ptS0	ptS1	ptS2	ptS3	ptS4
S0	1	0.998908374201817	0.000964998312446828	0.000118474520189539	4.58389764372602e-06	3.56906790311008e-06
S0	2	0.997449165372945	0.00210969112672096	0.000393563699620475	1.93904325073372e-05	2.81893682059623e-05
S0	3	0.993650974264931	0.0054172242677566	0.000778375817958112	6.45753812342582e-05	8.88502681194594e-05
S0	4	0.983121914517703	0.014729486274185	0.00171571592170004	0.000157439594946708	0.000275443691465127
S0	5	0.939804363551766	0.050393948831706	0.00751913341388078	0.000740634459795409	0.0015419197428518
S0	6	0.885533666692834	0.0846238820037306	0.0224242405065837	0.00188872052863869	0.00552949026821272
S0	7	0.883181202503764	0.0722329551098008	0.0288007105314686	0.00451363649520335	0.0112714953597631
S0	8	0.7238383720527	0.117656702095766	0.0893533183727393	0.017233639644318	0.0519179678344767
S0	9	0.82155616779548	0.0403481859838683	0.0595125710336956	0.0140322971911683	0.0645507779957878
S0	10	0.872861943835824	0.020562292705709	0.030694690289727	0.011262936428213	0.0646181367405265
S0	11	0.743505179817484	0.0167188572819276	0.0599728188979474	0.0225698976009799	0.157233246401661
S0	12	0.634370796221843	0.00418434216846757	0.0783427149439798	0.03194397511174	0.25115817155397
S0	13	0	0.0537827612036846	0.136076397153037	0.0640631709133506	0.746077670729927
S0	14	0	0	0.0456715490864744	0.0586408073209133	0.895687643592612
S0	15	0	0	0	0.0900849116848764	0.909915088315124
ALL	NA	0.995837316762269	0.00314690885914595	0.000637348629700446	7.96685787125558e-05	0.000298757170172084
S1	1	0.0268229221717026	0.968516631205704	0.00441148793462212	0.000173088891429118	7.58697965416495e-05
S1	2	0.0123990025665106	0.980200564503861	0.00678407616042674	0.000338951315918214	0.000277405453282976
S1	3	0.00485390350267674	0.989086294905684	0.00527261805340391	0.000443586278629431	0.000343597259606193
S1	4	0.0017734991032646	0.993141865338223	0.00429189095803085	0.000399384687122459	0.000393359913358788
S1	5	0.000495367945891166	0.992816366617341	0.00549588879193555	0.000548969489608723	0.000643407155223666
S1	6	0.000276559049649318	0.987815495706596	0.0097113642003806	0.000829476998094771	0.00136710404527922
S1	7	0.00032046747310902	0.979647004597101	0.0144916235198874	0.00230310940459935	0.00323779500530303
